epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,4878.08,1.32616,1.37287,1.48994,0.66126,0.74388,0.67795,0.36056,1.42236,1.05293,1.40331,0.004654,0.004654,0.004654
137,4913.33,1.31713,1.38605,1.47312,0.72211,0.73414,0.67104,0.34843,1.40372,1.0766,1.39569,0.0046144,0.0046144,0.0046144
138,4948.69,1.30125,1.32266,1.47016,0.66307,0.66533,0.63074,0.33755,1.41927,1.05662,1.39437,0.0045748,0.0045748,0.0045748
139,4985.09,1.30554,1.3606,1.47553,0.72918,0.7061,0.68675,0.35984,1.35796,1.02556,1.36529,0.0045352,0.0045352,0.0045352
140,5020.74,1.32681,1.3539,1.47776,0.71323,0.72602,0.67952,0.36376,1.35709,1.06663,1.37222,0.0044956,0.0044956,0.0044956
141,5055.33,1.31696,1.35598,1.47233,0.69162,0.67105,0.65396,0.35947,1.38471,1.01962,1.38073,0.004456,0.004456,0.004456
142,5090.75,1.30146,1.347,1.47718,0.72217,0.66629,0.67987,0.37035,1.37076,0.99963,1.37257,0.0044164,0.0044164,0.0044164
143,5126.9,1.30406,1.32766,1.46595,0.71671,0.70036,0.68895,0.36512,1.3844,1.02386,1.38249,0.0043768,0.0043768,0.0043768
144,5162.79,1.32199,1.33235,1.46486,0.64851,0.75876,0.67946,0.35717,1.34646,1.04348,1.36785,0.0043372,0.0043372,0.0043372
145,5197.99,1.28423,1.32249,1.46022,0.68059,0.71515,0.66048,0.3498,1.40382,1.08831,1.4251,0.0042976,0.0042976,0.0042976
146,5234.48,1.30951,1.33732,1.46492,0.68001,0.74547,0.69332,0.37402,1.36413,0.98064,1.37771,0.004258,0.004258,0.004258
147,5269.99,1.28962,1.28758,1.44797,0.68485,0.71413,0.64086,0.35187,1.39405,1.04052,1.38768,0.0042184,0.0042184,0.0042184
148,5305.89,1.28044,1.33108,1.45439,0.67073,0.73875,0.64916,0.33921,1.45588,1.02104,1.44248,0.0041788,0.0041788,0.0041788
149,5342.41,1.30709,1.35118,1.47324,0.66688,0.74097,0.66813,0.37507,1.311,0.98946,1.34558,0.0041392,0.0041392,0.0041392
150,5379.75,1.28638,1.30542,1.44384,0.66822,0.75152,0.66853,0.36734,1.38442,1.01115,1.37499,0.0040996,0.0040996,0.0040996
151,5415.58,1.29218,1.2989,1.45747,0.69996,0.73226,0.65976,0.35173,1.41446,1.06576,1.42409,0.00406,0.00406,0.00406
152,5451.59,1.29221,1.31705,1.45739,0.66649,0.71572,0.65284,0.36322,1.36977,1.01722,1.38286,0.0040204,0.0040204,0.0040204
153,5488.03,1.28215,1.2941,1.45589,0.71222,0.76201,0.69177,0.36996,1.35962,1.01096,1.37494,0.0039808,0.0039808,0.0039808
154,5523.65,1.27911,1.31013,1.45264,0.70253,0.72063,0.67022,0.36861,1.29932,0.99439,1.33619,0.0039412,0.0039412,0.0039412
155,5559.19,1.30277,1.30716,1.46136,0.72573,0.69926,0.67099,0.38012,1.2991,0.99599,1.32945,0.0039016,0.0039016,0.0039016
156,5594.77,1.26717,1.27763,1.44999,0.68102,0.68899,0.66424,0.34042,1.41717,1.01022,1.40777,0.003862,0.003862,0.003862
157,5630.66,1.27056,1.28834,1.44195,0.74972,0.74902,0.68947,0.37385,1.35411,0.97973,1.36114,0.0038224,0.0038224,0.0038224
158,5666.56,1.2837,1.26868,1.43758,0.73536,0.72576,0.6713,0.36296,1.34681,0.93729,1.33636,0.0037828,0.0037828,0.0037828
159,5701.73,1.29828,1.29353,1.45345,0.74958,0.71602,0.67863,0.37964,1.35274,0.95398,1.35824,0.0037432,0.0037432,0.0037432
160,5737.92,1.26987,1.25189,1.45063,0.75324,0.70764,0.68058,0.3751,1.36546,0.95132,1.36782,0.0037036,0.0037036,0.0037036
161,5774.26,1.27676,1.27712,1.44921,0.7293,0.7574,0.70133,0.39033,1.32598,0.93847,1.32702,0.003664,0.003664,0.003664
162,5810.28,1.28818,1.28019,1.45552,0.74453,0.7453,0.696,0.37745,1.38303,0.97655,1.36837,0.0036244,0.0036244,0.0036244
163,5846.5,1.28527,1.26874,1.44581,0.71492,0.763,0.69209,0.38834,1.33366,0.97015,1.32661,0.0035848,0.0035848,0.0035848
164,5881.93,1.2789,1.29763,1.45131,0.71257,0.73608,0.68975,0.38221,1.32763,0.98272,1.33797,0.0035452,0.0035452,0.0035452
165,5917.88,1.27467,1.26542,1.43477,0.67567,0.72576,0.66113,0.33775,1.50502,1.05414,1.44127,0.0035056,0.0035056,0.0035056
166,5953.68,1.26797,1.23405,1.42966,0.67997,0.68085,0.64374,0.34756,1.42188,1.01485,1.38674,0.003466,0.003466,0.003466
167,5989,1.27453,1.23205,1.43205,0.68413,0.71225,0.65803,0.37082,1.36017,0.97762,1.35027,0.0034264,0.0034264,0.0034264
168,6024.42,1.26656,1.27995,1.456,0.69199,0.70251,0.66177,0.38289,1.35138,1.01204,1.34951,0.0033868,0.0033868,0.0033868
169,6059.46,1.26716,1.24388,1.42789,0.71932,0.70439,0.66449,0.37024,1.32798,1.00144,1.32548,0.0033472,0.0033472,0.0033472
170,6094.9,1.24171,1.22913,1.42118,0.71607,0.76389,0.68435,0.37698,1.30165,0.98037,1.30872,0.0033076,0.0033076,0.0033076
171,6130.25,1.27446,1.2682,1.44198,0.71522,0.73226,0.68236,0.38235,1.30803,0.92721,1.31461,0.003268,0.003268,0.003268
172,6165.35,1.24928,1.23096,1.42266,0.70062,0.74646,0.67731,0.37729,1.32359,0.95481,1.3232,0.0032284,0.0032284,0.0032284
173,6201.39,1.27375,1.27774,1.44052,0.71314,0.73955,0.67856,0.37271,1.34433,0.97913,1.33026,0.0031888,0.0031888,0.0031888
174,6237.36,1.25467,1.23346,1.43698,0.67808,0.75876,0.68217,0.3741,1.33357,0.9637,1.3269,0.0031492,0.0031492,0.0031492
175,6273.6,1.26539,1.24219,1.45587,0.67707,0.7685,0.67035,0.37993,1.30776,0.91873,1.30725,0.0031096,0.0031096,0.0031096
176,6309.2,1.27809,1.22896,1.44577,0.70227,0.74784,0.66791,0.37306,1.33631,0.9822,1.33137,0.00307,0.00307,0.00307
177,6344.77,1.27377,1.24971,1.4535,0.6898,0.69737,0.67718,0.36308,1.37374,0.98779,1.36618,0.0030304,0.0030304,0.0030304
